Level1,Level2,Level3,Level4,
Superstructure,Floor,Balcony floor,Balcony,
Superstructure,Floor,Balcony floor,Panel,
Superstructure,Floor,Balcony floor,Glass unit masonry,
Superstructure,Floor,Balcony floor,Framing,
Superstructure,Floor,Balcony floor,Metal joist,
Superstructure,Floor,Balcony floor,Decking,
Superstructure,Floor,Balcony floor,Sheathing,
Superstructure,Floor,Balcony floor,Balcony railings,
Superstructure,Floor,Balcony floor,Exterior ceiling and soffit,
Superstructure,Roof,Canopy,Framing,
Superstructure,Roof,Canopy,Canopy support truss assemblies,
Superstructure,Roof,Canopy,Joist,
Superstructure,Roof,Canopy,Structural plastic,
Superstructure,Roof,Canopy,Structural panel,
Superstructure,Roof,Canopy,Decking,
Superstructure,Roof,Canopy,Sheathing,
Superstructure,Stair,Stair construction,Stair tread,
Superstructure,Stair,Stair construction,Stair nosing,
Superstructure,Stair,Soffit ,Plaster board,
Superstructure,Stair,Soffit ,Gypsum board,
Superstructure,Stair,Fire escape,,
Superstructure,Stair,Metal walkways,Catwalk,
Superstructure,Stair,Metal walkways,Grating,
Superstructure,Stair,Ladder,,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Wall panel,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Unit masonry,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Masonry veneer (surface),
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Manufactured masonry,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Cladding,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Stone unit,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Glass block,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Façade support truss assembly,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Exterior insulation and finish system,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Faced panel,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Siding,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Cement plaster,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Cement stucco,
Exterior vertical enclosure,Exterior wall,Exterior wall veneer,Painting and coating,
Exterior vertical enclosure,Exterior wall,Exterior wall ,Unit Masonry,
Exterior vertical enclosure,Exterior wall,Exterior wall ,Structural panel,
Exterior vertical enclosure,Exterior wall,Exterior wall ,Sheathing,
Exterior vertical enclosure,Exterior wall,Fabricated exterior wall assembly,Unit masonry panel,
Exterior vertical enclosure,Exterior wall,Fabricated exterior wall assembly,Mullion,
Exterior vertical enclosure,Exterior wall,Fabricated exterior wall assembly,Glass,
Exterior vertical enclosure,Exterior wall,Fabricated exterior wall assembly,Fabricated wall panel assembly,
Exterior vertical enclosure,Exterior wall,Fabricated exterior wall assembly,Fabricated faced panel assembly,
Exterior vertical enclosure,Exterior wall,Railing,Baluster,
Exterior vertical enclosure,Exterior wall,Railing,Post,
Exterior vertical enclosure,Exterior wall,Railing,Support,
Exterior vertical enclosure,Exterior wall,Railing,Termination,
Exterior vertical enclosure,Exterior wall,Parapet,Unit Masonry,
Exterior vertical enclosure,Exterior wall,Parapet,Framing,
Exterior vertical enclosure,Exterior wall,Parapet,Structural panel,
Exterior vertical enclosure,Exterior wall,Parapet,Sheathing,
Exterior vertical enclosure,Exterior wall,Equipment screen,Unit masonry,
Exterior vertical enclosure,Exterior wall,Equipment screen,Louvered equipment enclosure,
Exterior vertical enclosure,Exterior wall,Exterior wall supplimentary component,Grouting,
Exterior vertical enclosure,Exterior wall,Exterior wall supplimentary component,Expansion joint,
Exterior vertical enclosure,Exterior wall,Exterior wall opening supplementary component,Lintel,
Exterior vertical enclosure,Exterior wall,Exterior wall opening supplementary component,Sealant,
Exterior vertical enclosure,Exterior wall,Exterior wall opening supplementary component,Sill,
Exterior vertical enclosure,Exterior window,Window,Window frame,
Exterior vertical enclosure,Exterior window,Window,Window panel,
Exterior vertical enclosure,Exterior window,Window,Window jamb,
Exterior vertical enclosure,Exterior window,Window,Glazing,
Exterior vertical enclosure,Exterior window,Window,Window screen,
Exterior vertical enclosure,Exterior window,Window,Finishes,
Exterior vertical enclosure,Exterior window,Window wall,Storefront,
Exterior vertical enclosure,Exterior window,Window wall,Sealant,
Exterior vertical enclosure,Exterior door and grille,Entrance door,Door glazing,
Exterior vertical enclosure,Exterior door and grille,Entrance door,Door louver,
Exterior vertical enclosure,Exterior door and grille,Entrance door,Finishes,
Exterior vertical enclosure,Exterior door and grille,Entrance door,Door frame,
Exterior vertical enclosure,Exterior door and grille,Grille,,
Exterior vertical enclosure,Exterior louver and vent,Louver,,
Exterior vertical enclosure,Exterior louver and vent,Vent,,
Exterior vertical enclosure,Exterior wall appurtenance,Fixed grille and screen,Decorative metal,
Exterior vertical enclosure,Exterior wall appurtenance,Fixed grille and screen,Wood screen,
Exterior vertical enclosure,Exterior wall appurtenance,Fixed grille and screen,Site screening device,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior opening protection device,Awning,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior opening protection device,Shutter,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior opening protection device,Sun control device,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior balcony parapet and railing,Parapet,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior balcony parapet and railing,Railing,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior fabrication,Decorative metal,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior fabrication,Ornamental woodwork,
Exterior vertical enclosure,Exterior wall appurtenance,Exterior fabrication,Column cover,
Exterior vertical enclosure,Exterior wall appurtenance,Bird control device,,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Air conditioning unit,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Antenna,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Marquee,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Cornice,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Light fixture,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Pediment,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Baluster,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Balustrade,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Portico,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Signage,
Exterior vertical enclosure,Exterior wall appurtenance,Other,Spandrel (part of wall),
Exterior vertical enclosure,Exterior wall appurtenance,Other,Fence,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Roof panel,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Roof tile,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Sheet metal roofing,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Roof Shingle,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Roof shake,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Roof slate,
Exterior horizontal enclosure,Roofing,Steep slope roofing,Rainwater management,
Exterior horizontal enclosure,Roofing,Low-slope roof,Roofing ballast,
Exterior horizontal enclosure,Roofing,Roofing supplementary component,Flashing,
Exterior horizontal enclosure,Roofing,Roofing supplementary component,Substrate board,
Exterior horizontal enclosure,Roofing,Roofing supplementary component,Trim,
Exterior horizontal enclosure,Roofing,Roofing supplementary component,Counterflashing system,
Exterior horizontal enclosure,Roofing,Roofing supplementary component,Gravel stop,
Exterior horizontal enclosure,Roofing,Roofing supplementary component,Coping,
Exterior horizontal enclosure,Roof appurtenance,Roof accessory,Roof ladder,
Exterior horizontal enclosure,Roof appurtenance,Roof accessory,Roof curb,
Exterior horizontal enclosure,Roof appurtenance,Roof accessory,Roof walkway,
Exterior horizontal enclosure,Roof appurtenance,Roof accessory,Ridge vent,
Exterior horizontal enclosure,Roof appurtenance,Roof accessory,Relief vent,
Exterior horizontal enclosure,Roof appurtenance,Roof accessory,Snow guard,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Cupola,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Spire,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Steeple,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Weathervane,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Setback,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Terrace,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Tower,
Exterior horizontal enclosure,Roof appurtenance,Roof specialty,Flagpole,
Exterior horizontal enclosure,Roof appurtenance,Rainwater management,Conductor head,
Exterior horizontal enclosure,Roof appurtenance,Rainwater management,Gutter,
Exterior horizontal enclosure,Roof appurtenance,Rainwater management,Scupper,
Exterior horizontal enclosure,Roof appurtenance,Rainwater management,Downspout,
Exterior horizontal enclosure,Traffic bearing horizontal enclosure,Horizontal enclosure supplementary component,Flashing,
Exterior horizontal enclosure,Traffic bearing horizontal enclosure,Horizontal enclosure supplementary component,Trim,
Exterior horizontal enclosure,Traffic bearing horizontal enclosure,Horizontal enclosure supplementary component,Coping,
Exterior horizontal enclosure,Traffic bearing horizontal enclosure,Horizontal enclosure supplementary component,Counterflashing system,
Exterior horizontal enclosure,Traffic bearing horizontal enclosure,Horizontal enclosure supplementary component,Gravel stop,
Exterior horizontal enclosure,Horizontal opening,Roof window and skylight,Roof window,
Exterior horizontal enclosure,Horizontal opening,Roof window and skylight,Unit skylight,
Exterior horizontal enclosure,Horizontal opening,Roof window and skylight,Frame skylight,
Exterior horizontal enclosure,Horizontal opening,Roof window and skylight,Skylight screen,
Exterior horizontal enclosure,Horizontal opening,Roof window and skylight,Skylight protection,
Exterior horizontal enclosure,Horizontal opening,Vent and Hatch,Roof hatch,
Exterior horizontal enclosure,Horizontal opening,Vent and Hatch,Smoke vent,
Exterior horizontal enclosure,Horizontal opening,Vent and Hatch,Chimney,
Exterior horizontal enclosure,Horizontal opening,Horizontal opening supplementary component,Glazing,
Exterior horizontal enclosure,Horizontal opening,Horizontal opening supplementary component,Flashing,
Exterior horizontal enclosure,Horizontal opening,Horizontal opening supplementary component,Hardware,
Exterior horizontal enclosure,Horizontal opening,Horizontal opening supplementary component,Frame,
Exterior horizontal enclosure,Horizontal opening,Horizontal opening supplementary component,Joint sealant,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior ceiling,Ceiling,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior ceiling,Painting and coating,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior soffit,Soffit panel,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior soffit,Faced panel,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior soffit,Plaster board,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior soffit,Painting and coating,
Exterior horizontal enclosure,Overhead exterior enclosure,Exterior soffit,Soffit vent,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Wall panel,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Faced panel,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Plaster,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Gypsum board,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Specialty ceiling,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Painting and coating,
Exterior horizontal enclosure,Overhead exterior enclosure,Bulkhead,Textured ceiling,
Exterior vertical enclosure,Exterior window,Odd window,